,title,videoId,viewCount,likeCount,dislikeCount,commentCount,videoDuration,Date
0,BBC Arabic Live - lbth lmbshr ltlfzywn by by sy `rby,HxI2TxhhS9A,7625430,0,0,0,PT0S,2017-11-15T17:19:26.000Z
1,lsbH@ lmSry@ fryd@ hshm: fy mSr yhtmwn bk b`d 'n tHqq njz,stZd-fLiG6w,357,25,3,12,PT2M59S,2018-07-23T16:51:18.000Z
2,by_by_sy_trndynG | m`lwmt l #by_by_sy tshyr l~ 'n #qTr qd tkwn df`t 'kbr fdy@ fy ltrykh,oTrjLX-VyaM,30927,332,108,218,PT6M42S,2018-07-18T16:26:08.000Z
3,by_by_sy_trndynG | #`dnn_'wktr ld`y@ lslmy wnsw'h lrqSt fy qbD@ lshrT@ fy #trky,qsMpwPvU4Fc,477487,4343,728,1864,PT8M2S,2018-07-12T15:56:27.000Z
4,"by_by_sy_trndynG: hl 'khT' #lsysy fy nTq mSTlH ""lSwrykh lblysty@""?",Zp-KCCDW7c0,899927,4127,1594,2400,PT9M24S,2018-04-16T16:03:43.000Z
5,by_by_sy_trndynG |nshrH kyf frW #rDwn_lfyd mn sjn fy #frns `l~ Tryq@ hwlywwd,KGdAuyeQeiw,170717,2027,130,388,PT6M13S,2018-07-02T16:10:03.000Z
6,by by sy `rby tzwr mHfl lmswny@ fy bryTny,1_p29eVZq40,357809,4226,1008,1279,PT8M47S,2018-03-13T14:14:25.000Z
7,by_by_sy_trndynG | hl t'khrw fy Sym #rmDn? Zhwr lqmr lbdr mbkr yqlq lmslmyn,Y7_2EQH8QCU,452076,4989,566,1761,PT7M46S,2018-05-31T16:06:32.000Z
8,by_by_sy_trndynG | Gsn...mr'@ tqT` mrsl wtSbH Zhr@ `l~ #lntrnt  #Gsn,9mAPVba7-AY,580395,7795,1146,1232,PT3M16S,2018-06-27T16:38:08.000Z
9,"ary jn srHn, `zf lbzq lswry - lHlq@ 25 - ljz1- by by sy kstr",XLJuNQ4diQE,28781,638,18,30,PT10M47S,2018-03-21T18:30:00.000Z
10,by by sy fy m`br nSyb  `nd lHdwd l'rdny@ lswry@,ToXjI5rbOb0,112587,893,168,672,PT6M47S,2018-07-08T10:50:50.000Z
11,lymn: hl yw'thr mqtl lSmd fy mjr~ lHrb? brnmj nqT@ Hwr,efO633og1V8,19719,138,50,0,PT51M32S,2018-04-26T14:44:26.000Z
12,by_by_sy_trndynG: mHkm@ swdny@ tTlq Tfl@ fy l11 mn zwjh l'rb`yny,3tw-1C8npc4,2787,77,9,46,PT3M10S,2018-07-23T15:38:54.000Z
13,"mdh y`ny qrr sry'yl qnwn ""yhwdy@ ldwl@""?",gXWy9IS0w1c,662,10,3,0,PT51M33S,2018-07-23T11:59:06.000Z
14,by_by_sy_trndynG: Zhwr #mHmd_bn_slmn b`d khtfy'h l'kthr mn shhr,12l9gYayG4Y,241961,1326,553,1006,PT2M59S,2018-05-31T16:56:54.000Z
15,by_by_sy_trndynG | #tbwt yktshf fy #lskndry@ y`yd #l`n@_lfr`n@ wyGDb #lmSrywn,ktS39pFLx0I,150535,1255,145,402,PT5M34S,2018-07-20T16:25:25.000Z
16,"""bl qywd"" m` lmfkr wlnqd ls`wdy `ly lhwyryny",p-iNjQ5tgss,98442,1050,154,519,PT27M44S,2018-02-11T23:30:01.000Z
17,by_by_sy_trndynG | jywsh wHmy@ stthny'y@ l #trmb 'thn zyrth #lndn...t`rfw `l~ mwkbh,UZIcuZp6Gm8,74463,1448,65,364,PT4M50S,2018-07-13T16:20:15.000Z
18,hl  'Sbt ls`wdy@ 'm 'khT't fy systh fy lymn? brnmj nqT@ Hwr,c7blZPmbmEY,53862,253,93,174,PT51M35S,2017-10-02T11:44:45.000Z
19,`mr lbshyr fy lq khS m` by by sy,KhbL9IlRY90,23445,78,29,38,PT9M32S,2016-04-08T10:52:09.000Z
20,`bd lmn`m 'bw lftwH lby by sy: ltGyyr fy mSr hw `br lnDl lslmy,ckKETEpy4EU,15354,136,25,62,PT23M8S,2018-02-16T16:57:52.000Z
21,fryq by by sy ynjw mn hjwm ntHry qrb lmwSl,Me8FwuVbpiY,937217,6325,606,1153,PT7M16S,2016-11-05T15:12:06.000Z
22,mlHdwn `ks ltyr,6UT9hV0N6HA,871,24,16,81,PT52M12S,2018-07-23T08:38:10.000Z
23,by by sy tdkhl Hy 30 tmwz blmwSl brfq@ qwt lfrq@ lmdr`@,vUnmM2PLYFI,907567,5524,549,544,PT3M48S,2017-05-12T10:12:52.000Z
24,Swr HSry@ lby by sy mn lm`rk lty 'dt l~ mqtl `l~ `bd llh SlH,8MUtWTR9AWM,653604,2654,584,663,PT5M17S,2018-01-06T17:00:23.000Z
25,by_by_sy_trndynG:  m`rk@ dmwy@ byn qbyl@ lshwbk@ wbny Skhr fy #l'rdn tsh`l lmnSt,weqkH89Ln1E,825203,3756,1045,1909,PT4M14S,2018-05-08T16:42:20.000Z
26,"""bl qywd"" m` lktb@ wlrwy'y@ lmSry@ nwl ls`dwy",Ovr2_fUUDMU,61237,861,394,923,PT25M50S,2018-07-01T22:45:00.000Z
27,by_by_sy_trndynG | #str@_Ty'r@ tsmH lmshtryh ltHlyq fy lhw #tknwwjy,DoSHYd6FYLg,10583,163,17,50,PT3M6S,2018-07-20T16:36:32.000Z
